,date,ap_daily,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27
174,1950-06-24,44.157,18,9,18,6,15,7,15,22,9,7,9,18,12,6,9,7,7,67,56,39,94,80,48,39,9,27,15
175,1950-06-25,18.105,9,7,9,18,12,6,9,7,7,67,56,39,94,80,48,39,9,27,15,18,9,22,39,15,5,12,22
176,1950-06-26,10.052,7,67,56,39,94,80,48,39,9,27,15,18,9,22,39,15,5,12,22,27,15,7,6,9,3,5,5
177,1950-06-27,5.021,9,27,15,18,9,22,39,15,5,12,22,27,15,7,6,9,3,5,5,4,4,5,4,6,7,6,6
178,1950-06-28,4.021,5,12,22,27,15,7,6,9,3,5,5,4,4,5,4,6,7,6,6,7,5,4,6,4,2,3,4
179,1950-06-29,36.146,3,5,5,4,4,5,4,6,7,6,6,7,5,4,6,4,2,3,4,4,5,6,6,39,80,80,67
180,1950-06-30,39.146,7,6,6,7,5,4,6,4,2,3,4,4,5,6,6,39,80,80,67,80,11,15,18,22,27,18,22
181,1950-07-01,12.073,2,3,4,4,5,6,6,39,80,80,67,80,11,15,18,22,27,18,22,27,6,7,7,18,9,6,18
182,1950-07-02,6.031,80,80,67,80,11,15,18,22,27,18,22,27,6,7,7,18,9,6,18,6,12,6,3,4,5,5,6
183,1950-07-03,15.094,27,18,22,27,6,7,7,18,9,6,18,6,12,6,3,4,5,5,6,2,3,3,5,12,18,32,48
184,1950-07-04,29.136,9,6,18,6,12,6,3,4,5,5,6,2,3,3,5,12,18,32,48,80,48,18,5,12,18,22,27
185,1950-07-05,16.094,5,5,6,2,3,3,5,12,18,32,48,80,48,18,5,12,18,22,27,27,18,5,12,18,12,18,18
186,1950-07-06,10.063,18,32,48,80,48,18,5,12,18,22,27,27,18,5,12,18,12,18,18,15,6,12,12,9,15,5,6
187,1950-07-07,10.063,18,22,27,27,18,5,12,18,12,18,18,15,6,12,12,9,15,5,6,12,9,5,9,7,9,7,22
188,1950-07-08,6.031,12,18,18,15,6,12,12,9,15,5,6,12,9,5,9,7,9,7,22,7,5,7,6,12,6,2,2
189,1950-07-09,13.073,15,5,6,12,9,5,9,7,9,7,22,7,5,7,6,12,6,2,2,7,22,22,6,18,12,9,5
190,1950-07-10,8.052,9,7,22,7,5,7,6,12,6,2,2,7,22,22,6,18,12,9,5,5,5,6,9,9,18,6,9
191,1950-07-11,32.136,6,2,2,7,22,22,6,18,12,9,5,5,5,6,9,9,18,6,9,22,6,4,15,56,22,48,80
192,1950-07-12,47.157,12,9,5,5,5,6,9,9,18,6,9,22,6,4,15,56,22,48,80,32,94,22,56,18,18,15,18
193,1950-07-13,25.126,18,6,9,22,6,4,15,56,22,48,80,32,94,22,56,18,18,15,18,39,27,15,48,39,12,15,6
